description,price,bioequivalent,image_url,chain,searched_drug
Gesidol Gesidol Infantil 100 mg/mL x 15 mL Solución Oral Para Gotas,2995,paracetamol,https://cdn-ahumada.azureedge.net/catalog/product/cache/e23fd14dc6230ab5728f44b59382e708/d/7/d7e1096d37b625c99b73b244eb377577c23bc5e9f41e042b698f950b5b267957.jpg,Farmacia Ahumada,paracetamol
Gesidol Gesidol Infantil 120 mg/5 mL x 100 mL Jarabe,10545,paracetamol,https://cdn-ahumada.azureedge.net/catalog/product/cache/e23fd14dc6230ab5728f44b59382e708/4/2/424ba25b6cec53c595e9feb84f26c7df3f841224d9115cb28285fca26908b54d.jpg,Farmacia Ahumada,paracetamol
Kitadol Kitadol 1 g x 18 Comprimidos,7828,paracetamol,https://cdn-ahumada.azureedge.net/catalog/product/cache/e23fd14dc6230ab5728f44b59382e708/b/3/b399d34f088138b0d41d84a6cc6ea3835c471f2981789148e27e1192d978e92c.jpg,Farmacia Ahumada,paracetamol
Kitadol Kitadol 160 mg x 16 Comprimidos Masticables,3745,paracetamol,https://cdn-ahumada.azureedge.net/catalog/product/cache/e23fd14dc6230ab5728f44b59382e708/7/e/7eccd7ab30f5ca97865458c6b2d5377c7426ffb907857b60266faeecf0e8501c.jpg,Farmacia Ahumada,paracetamol
Kitadol Kitadol 500 mg x 24 Comprimidos,995,paracetamol,https://cdn-ahumada.azureedge.net/catalog/product/cache/e23fd14dc6230ab5728f44b59382e708/8/3/83056b69ec575d3e9d78d2b63866f01c4c698c747ea5464d3c49133e6de51edd.jpg,Farmacia Ahumada,paracetamol
Panadol Panadol 100 mg/mL x 30 mL Solución para Gotas Orales,7095,paracetamol,https://cdn-ahumada.azureedge.net/catalog/product/cache/e23fd14dc6230ab5728f44b59382e708/f/c/fce53cd3bb606394e4035ac9bb196286eaecdcbe4a11e8913b1bac92610c499c.jpg,Farmacia Ahumada,paracetamol
Panadol Panadol 80 mg x 20 Comprimidos Masticables,5045,paracetamol,https://cdn-ahumada.azureedge.net/catalog/product/cache/e23fd14dc6230ab5728f44b59382e708/1/6/16962567ff127533c53e2717f1e120b20ef9c8dd76e6b25901e538c6c55437d4.jpg,Farmacia Ahumada,paracetamol
Panadol Panadol Advance 500 mg x 10 Comprimidos Recubiertos,2895,paracetamol,https://cdn-ahumada.azureedge.net/catalog/product/cache/e23fd14dc6230ab5728f44b59382e708/d/c/dcdd7d7deeb60db45192eff0c52eb43576e73807a637b6dc8f776b3016e4c00e.jpg,Farmacia Ahumada,paracetamol
Panadol Panadol Advance 500mg x 12 Comprimidos,3595,paracetamol,https://cdn-ahumada.azureedge.net/catalog/product/cache/e23fd14dc6230ab5728f44b59382e708/2/0/20b003be39936468dc3faf498c01ce274c5304ee961dced6dfb9a274e223d15c.jpg,Farmacia Ahumada,paracetamol
Panadol Panadol Advance 500mg x 48 Comprimidos,8195,paracetamol,https://cdn-ahumada.azureedge.net/catalog/product/cache/e23fd14dc6230ab5728f44b59382e708/c/a/ca981fbf9856129986e706c6568ef0ef8e284d36964182cb85412bcaaa78ea31.jpg,Farmacia Ahumada,paracetamol
Panadol Panadol Niños 100mg/Ml Gotas 15ml,4345,paracetamol,https://cdn-ahumada.azureedge.net/catalog/product/cache/e23fd14dc6230ab5728f44b59382e708/0/5/05fdd8ccddd0507d970b0da0886082d1247ac7e4959af0e775d57d7f4b5770d0.jpg,Farmacia Ahumada,paracetamol
