chain,title,latitude,longitude,address,phone
Cruz Verde,Farmacias Cruz Verde,-33.439803999999995,-70.65108599999999,"- Paseo Ahumada 298, Santiago, Región Metropolitana",800 802 800
Cruz Verde,Farmacia Cruz Verde,-33.4362941,-70.6515758,"- P.º Puente 598, 8320095 Santiago, Región Metropolitana",800 802 800
Cruz Verde,Farmacia Cruz Verde,-33.4597736,-70.6490396,"- San Diego 1102, Santiago, Región Metropolitana",800 802 800
Cruz Verde,Farmacias Cruz Verde,-33.4406424,-70.7016451,"- Av. San Pablo 4898, Santiago, Quinta Normal, Región Metropolitana",800 802 800
Cruz Verde,Farmacias Cruz Verde,-33.44269,-70.6414175,"- Lira 49, Santiago, Región Metropolitana",800 802 800
Farmacia Ahumada,Farmacias Ahumada,-33.4442714,-70.65441059999999,"- Teatinos 4, Santiago, Región Metropolitana",(2) 3274 0392
Farmacia Ahumada,Farmacias Ahumada,-33.4350429,-70.6691341,"- Av. San Pablo 2302, Santiago, Región Metropolitana",(2) 3274 0504
Farmacia Ahumada,Farmacias Ahumada,-33.4405865,-70.6510138,"- Paseo Ahumada 226, Santiago, Región Metropolitana",(2) 3274 0494
Farmacia Ahumada,Farmacias Ahumada,-33.4537171,-70.69172379999999,"- Autopista Gral. Velásquez N° 060, Lo Prado, Estación Central, Región Metropolitana",(2) 3274 0378
Farmacia Ahumada,Farmacias Ahumada,-33.4542711,-70.65236399999999,"- Nataniel Cox 620, Santiago, Región Metropolitana",(2) 3274 0568
Farmacia Ahumada,Farmacias Ahumada,-33.418977999999996,-70.6646722,"- Av. Fermín Vivaceta 1018, Independencia, Región Metropolitana",(2) 3274 0735
Farmacia Ahumada,Farmacias Ahumada,-33.4423111,-70.6394862,"- Marcoleta 328, 8320165 Santiago, Región Metropolitana",(2) 3274 0693
Farmacia Ahumada,Farmacias Ahumada,-33.425491099999995,-70.6707962,"- Av. Pdte. Eduardo Frei Montalva N° 190, Rancagua, O'Higgins",(2) 3274 0330
Farmacia Ahumada,Farmacias Ahumada - SAFE,-33.4478532,-70.6345809,"- Av. Portugal 480, Santiago, Región Metropolitana",(2) 3274 0602
Farmacia Ahumada,Farmacias Ahumada,-33.4556207,-70.62652940000001,"- Av. Grecia 249, Santiago, Ñuñoa, Región Metropolitana",(2) 3274 0336
Farmacia Ahumada,Farmacias Ahumada,-33.4570389,-70.7059673,"- Av. Libertador Bernardo O'Higgins N° 5199, local 2, Santiago, Estación Central, Región Metropolitana",(2) 3274 0377
Farmacia Ahumada,Farmacias Ahumada,-33.4347454,-70.62631,"- Av. Salvador 89, Santiago, Providencia, Región Metropolitana",(2) 3274 0480
Farmacia Ahumada,Farmacias Ahumada,-33.439153999999995,-70.6484491,"- Huerfanos 811, Santiago, Región Metropolitana",(2) 3274 0741
Farmacia Ahumada,Farmacias Ahumada,-33.4499631,-70.6215533,"- Av. Salvador 1848, Ñuñoa, Región Metropolitana",(2) 3274 0670
Farmacia Ahumada,Farmacias Ahumada,-33.4408905,-70.6305055,"- Rancagua 0180, Santiago, Providencia, Región Metropolitana",(2) 3274 0361
Farmacia Ahumada,Farmacia Ahumada,-33.4428595,-70.6493854,"- Av. Libertador Bernardo O'Higgins 915, Santiago, Región Metropolitana",(2) 3274 0758
Farmacia Ahumada,Farmacias Ahumada,-33.429701900000005,-70.6196147,"- Av. Nueva Providencia 1313, Santiago, Providencia, Región Metropolitana",(2) 3274 0492
Farmacia Ahumada,Farmacias Ahumada,-33.4452382,-70.7240023,"- Neptuno 720, Lo Prado, Región Metropolitana",(2) 3274 0607
Farmacia Ahumada,Farmacias Ahumada,-33.4243647,-70.6157401,"- La Concepción N°135, Local 1, Providencia, Región Metropolitana",(2) 3274 0629
Farmacia Ahumada,Farmacias Ahumada,-33.4458485,-70.60634069999999,"- Av. Pedro de Valdivia 2523, Santiago, Ñuñoa, Región Metropolitana",(2) 3274 0512
Farmacia Botika,Farmacias La Botika,-33.5821379,-70.60146019999999,"- Av. Gabriela Pte. 1700, 8150498 Puente Alto, Región Metropolitana",44 246 9801
Farmacia Botika,Farmacias La Botika,-33.428297199999996,-70.7042076,"- Av. Mapocho 5041, 8510561 Quinta Normal, Región Metropolitana",44 246 9810
Farmacia Botika,Farmacias La Botika,-33.4318169,-70.6911478,"- Av. Mapocho 4131, 8530146 Quinta Normal, Región Metropolitana",44 246 9811
Farmacia Botika,Farmacias La Botika,-33.507428,-70.568486,"- San Luis de Macúl 6248, 7930986 Penalolen, Peñalolén, Región Metropolitana",44 246 9802
Farmacia Botika,Farmacias La Botika,-33.5177452,-70.6290489,"- Av. Lo Ovalle 347, 8960961 San Joaquín, Región Metropolitana",44 246 9803
Farmacia Botika,Farmacias La Botika,-33.5801465,-70.5640615,"- Av, El Peñón #1467, 8205538 Puente Alto, Región Metropolitana",44 246 9815
Farmacia Botika,Farmacia La Botika,-33.433180799999995,-70.6592984,"- Gral. Mackenna 1523, Santiago, Región Metropolitana",9 8900 9775
Farmacia Botika,Farmacias La Botika,-33.5043308,-70.7802142,"- Av. 3 Pte. 2600, 9275900 Maipú, Región Metropolitana",44 246 9809
Farmacia Botika,Botika Habanera,-33.4379851,-70.6489582,"- Merced 839, Santiago, Región Metropolitana",(2) 2784 2800
Farmacia Botika,Farmacias La Botika,-33.4097659,-70.6906383,"- Av. Domingo Sta. María 3305, 8640795 Renca, Región Metropolitana",44 246 9804
Farmacia Botika,Laboratorio Y Farmacias Lvn La Botika Y Compania L,-33.4567541,-70.5959684,"- Dublé Almeyda 3401, Santiago, Ñuñoa, Región Metropolitana",
Farmacia Botika,Farmacias La Botika,-33.5032018,-70.69037159999999,"- Av. Cardenal Raúl Silva Henríquez 6398, Pedro Aguirre Cerda, Región Metropolitana",44 246 9805
Farmacia Botika,Farmacias La Botika,-33.4307052,-70.720185,"- Av. José Joaquín Pérez 6094, 8500159 Quinta Normal, Región Metropolitana",44 246 9813
Farmacia Botika,Farmacias la Botika,-33.5932902,-70.5593742,"- Av. México 1915, 8181249 Santiago, Región Metropolitana",9 3553 0799
Farmacia Botika,Farmacias La Botika,-33.4704419,-70.56834479999999,"- Los Molineros 1720, 7910997 Penalolen, Peñalolén, Región Metropolitana",(2) 2272 4733
Farmacia Botika,Botika,-33.530533,-70.6289805,"- Combarbalá 245, La Granja, Región Metropolitana",
Farmacia Botika,Farmacias la Botika,-33.4986858,-70.68811509999999,"- Av. Cardenal Raúl Silva Henríquez 6008, 8460000 Pedro Aguirre Cerda, Región Metropolitana",44 246 9806
Farmacia Botika,Farmacias La Botika,-33.5319548,-70.62318789999999,"- Av. Cardenal Raúl Silva Henríquez 7987, 8780768 La Granja, Región Metropolitana",44 246 9808
Farmacia Botika,Farmacias la Botika,-33.4502102,-70.5882831,"- Av. Presidente José Batlle Y Ordóñez 3923, 7790664 Ñuñoa, Región Metropolitana",9 6749 9885
Farmacia Botika,Farmacias La Botika,-33.360469,-70.50580769999999,"- Lo Barnechea 840, 7690431 Santiago, Lo Barnechea, Región Metropolitana",44 246 9807
Salcobrand,Farmacias Salcobrand,-33.4488929,-70.6692794,"- Moneda N° 818 Local 4,5 y 6, Región Metropolitana",600 360 6000
Salcobrand,Farmacias Salcobrand,-33.453309,-70.660896,"- Toesca N° 1844, 1882 L-3 y 4, Santiago, Región Metropolitana",600 360 6000
Salcobrand,Farmacias Salcobrand,-33.4398392,-70.6554098,"- Teatinos N° 316, Santiago, Región Metropolitana",600 360 6000
Salcobrand,Farmacias Salcobrand,-33.43943,-70.649416,"- Huerfanos N° 900, Santiago, Región Metropolitana",600 360 6000
Salcobrand,Salcobrand,-33.4405105,-70.6485209,"- Agustinas 833, Local 841, Santiago, Región Metropolitana",600 360 6000
Salcobrand,Salcobrand,-33.4372681,-70.6514838,"- Catedral 1009, Local 2, Santiago, Región Metropolitana",600 360 6000
Salcobrand,Farmacias Salcobrand,-33.452942,-70.68013499999999,"- San Francisco de Borja 122, Santiago, Región Metropolitana",600 360 6000
Salcobrand,Farmacias Salcobrand,-33.451346799999996,-70.6468955,"- San Francisco 521, Local 1, Santiago, Región Metropolitana",600 360 6000
Salcobrand,Farmacias Salcobrand,-33.444531,-70.636563,"- Av. Portugal 174, Santiago, Región Metropolitana",600 360 6000
Salcobrand,Farmacias Salcobrand,-33.444476,-70.65540899999999,"- Av. Libertador Bernardo O'Higgins 1395, Santiago, Región Metropolitana",600 360 6000
Salcobrand,Farmacias Salcobrand,-33.420184,-70.65597799999999,"- Av. Independencia 906, N° 902 y, Independencia, Región Metropolitana",600 360 6000
Salcobrand,Farmacias Salcobrand,-33.442285,-70.64917299999999,"- Estado 54, Santiago, Región Metropolitana",600 360 6000
Salcobrand,Farmacias Salcobrand,-33.439785199999996,-70.65359149999999,"Esq. Morande - P.º Huerfanos N° 1199, Santiago, Región Metropolitana",600 360 6000
Salcobrand,Farmacias Salcobrand,-33.4352137,-70.6508946,"- P.º Puente N° 689, Local 119, Santiago, Región Metropolitana",600 360 6000
Salcobrand,Farmacias Salcobrand,-33.451706699999995,-70.6805348,"- DE SAN, Av. Libertador Bernardo O'Higgins N° 3402, Santiago, Estación Central, Región Metropolitana",600 360 6000
Salcobrand,Farmacias Salcobrand,-33.4572917,-70.7060612,"- Av. Libertador Bernardo O'Higgins N° 5155, Lo Prado, Región Metropolitana",600 360 6000
Salcobrand,Farmacias Salcobrand,-33.4574047,-70.7016995,"- Av. Libertador Bernardo O'Higgins 4850, Santiago, Región Metropolitana",600 360 6000
Salcobrand,Farmacias Salcobrand,-33.435409,-70.651528,"- P.º Puente 670, Santiago, Región Metropolitana",600 360 6000
Salcobrand,Farmacias Salcobrand,-33.438874,-70.6542185,"- Compañía de Jesús 1214, L-102-103, Santiago, Región Metropolitana",600 360 6000
Salcobrand,Farmacias Salcobrand,-33.49117,-70.657468,"- Av. Salesianos N° 1334, Local 1, San Miguel, Región Metropolitana",600 360 6000
